Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Dayofweek,month
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,3.0,10.0,24.0,36.0,27.0,36.0,32.0,26.0,31.0,30.0,22.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,2.7334855186189184,9.050820169404256,38.0,46.0,58.0,68.0,65.0,49.0,68.0,12.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.1484339282946023,21.0,32.0,47.0,59.0,73.0,35.0,23.0,13.0,25.0,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,1.8216909936970167,18.0,17.0,30.0,28.0,40.0,30.0,31.0,21.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,8.0,6.0,8.0,7.0,4.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,10.0,12.0,27.0,25.0,10.0,9.0,9.0,17.0,14.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,1.8216909936970167,9.0,15.0,21.0,38.0,30.0,11.0,11.0,10.0,14.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,12.0,13.0,7.0,7.0,23.0,34.0,18.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3,5
0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,17.0,26.0,34.0,21.0,18.0,17.0,33.0,25.0,22.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,26.0,24.0,49.0,51.0,38.0,50.0,38.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.0,8.0,12.0,17.0,27.0,23.0,22.0,12.0,17.0,8.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.0,5.0,20.0,21.0,27.0,32.0,31.0,31.0,28.0,23.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,9.0,12.0,9.0,9.0,10.0,8.0,7.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,7.0,8.0,21.0,18.0,27.0,34.0,31.0,28.0,15.0,5.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,4,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.7334855186189184,9.050820169404256,18.60254574318234,26.940145531279487,61.0,59.0,81.0,70.0,50.0,42.0,20.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,2.3085770142803423,9.090120964697709,18.60254574318234,70.0,80.0,77.0,73.0,64.0,52.0,46.0,21.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.37996234379364907,1.629458616858817,20.0,33.0,38.0,36.0,36.0,43.0,34.0,30.0,20.0,11.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,1.629458616858817,21.0,35.0,38.0,36.0,27.0,30.0,27.0,25.0,28.0,25.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,1.629458616858817,18.0,27.0,29.0,35.0,35.0,34.0,32.0,22.0,15.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,15.0,12.0,7.0,3.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,21.0,29.0,24.0,38.0,31.0,25.0,20.0,15.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,17.0,19.0,31.0,29.0,34.0,16.0,17.0,16.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,2.252574748236668,17.0,28.0,46.0,42.0,45.0,30.0,46.0,50.0,21.0,17.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,3.0,6.0,9.0,10.0,14.0,16.0,15.0,12.0,11.0,10.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,1.8216909936970167,17.0,28.0,36.0,35.0,35.0,38.0,36.0,35.0,35.0,28.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,13.0,18.0,21.0,25.0,20.0,11.0,15.0,11.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,4.0,10.0,17.0,30.0,27.0,22.0,18.0,38.0,24.0,11.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,19.0,27.0,9.0,8.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,15.0,23.0,31.0,28.0,23.0,26.0,25.0,15.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,1.629458616858817,9.0,11.0,20.0,30.0,25.0,21.0,16.0,15.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
